"","PctClay","Elev","hab_type","FreshWgtCor","PctWaterCt","logDistWater","logBiomass"
"55",0.5,1736,"grassland",21.7325,0.495571149,7.46020257743895,3.31998732623661
"56",0.9,1709,"grassland",18.3225,0.394596807,6.49284571204597,3.31998732623661
"57",0.6087,1709,"grassland",25.2625,0.43582385,6.49284571204597,3.31998732623661
"58",0.86,1709,"grassland",16.2525,0.331641286,6.49284571204597,3.31998732623661
"59",0.533,1709,"grassland",36.2525,0.396662299,6.49284571204597,3.31998732623661
"60",1,1709,"grassland",11.8325,0.327065286,6.49284571204597,3.31998732623661
"61",0.75,1710,"grassland",8.7,0.165517241,7.02126251977573,3.31998732623661
"62",0.649,1710,"grassland",13.01,0.48424289,7.02126251977573,3.31998732623661
"63",0.519,1710,"grassland",45.15,0.379844961,7.02126251977573,3.31998732623661
"64",0.086,1710,"grassland",54.42,0.585446527,7.02126251977573,3.31998732623661
"65",0.574,1710,"grassland",54.38,0.56803972,7.02126251977573,3.31998732623661
"66",0.625,1737,"wetland",32.35,0.323956723,6.4366310220677,3.31998732623661
"67",0.778,1737,"wetland",62.44,0.472934017,6.4366310220677,3.31998732623661
"68",0.692,1737,"wetland",74.78,0.49090666,6.4366310220677,3.31998732623661
"69",0.75,1737,"wetland",40.17,0.374906647,6.4366310220677,3.31998732623661
"71",0.26,1787,"bush/forest",26.34,0.345861807,6.16057420992971,4.81218435537242
"72",0.585,1787,"bush/forest",48.13,0.382297943,6.16057420992971,4.81218435537242
"74",0.273,1787,"bush/forest",36.94,0.389550623,6.16057420992971,4.81218435537242
"75",0.123,1787,"bush/forest",68.65,0.335324108,6.16057420992971,4.81218435537242
"76",0.357,1754,"bush/forest",63.44,0.391078184,4.10923317471585,4.81218435537242
"77",0.111,1754,"bush/forest",63.46,0.402615821,4.10923317471585,4.81218435537242
"78",0.25,1754,"bush/forest",48.93,0.46392806,4.10923317471585,4.81218435537242
"79",0.209,1754,"bush/forest",82.61,0.376830892,4.10923317471585,4.81218435537242
"81",0.8,1682,"grassland",2.96,0.489864865,5.86476689406202,3.58518421777517
"83",0.455,1682,"grassland",3.3,0.509090909,5.86476689406202,3.58518421777517
"84",0.389,1682,"grassland",7.88,0.525380711,5.86476689406202,3.58518421777517
"85",0.409,1682,"grassland",4.03,0.498759305,5.86476689406202,3.58518421777517
"86",0.556,1695,"bush/forest",28.89,0.424022153,0.262364264467491,4.81210305125432
"87",0.359,1695,"bush/forest",31.23,0.616074288,0.262364264467491,4.81210305125432
"88",0.359,1695,"bush/forest",14.77,0.534190928,0.262364264467491,4.81210305125432
"89",0.445,1695,"bush/forest",36.57,0.519824993,0.262364264467491,4.81210305125432
"90",0.429,1695,"bush/forest",37.73,0.670553936,0.262364264467491,4.81210305125432
